Año,Total,Variación interanual,Residenciales,Variación interanual,Organizaciones,Variación interanual
2015,23099094,0,20788244,0,2310850,0
2015,22876013,0,20560996,0,2315017,0
2015,24002309,0,21671654,0,2330655,0
2015,23870091,0,21670806,0,2199285,0
2015,24008461,0,21804878,0,2203583,0
2015,24402063,0,22016346,0,2385717,0
2015,24938404,0,22556232,0,2382172,0
2015,25123664,0,22665188,0,2458476,0
2015,25319899,0,22883160,0,2436739,0
2015,26006995,0,23575878,0,2431117,0
2015,25899545,0,23527450,0,2372095,0
2015,26106330,0,23796901,0,2309429,0
2016,26201596,13.4312713736738,23914739,15.0397262991525,2286857,-1.03827595906269
2016,26455137,15.6457508570222,23919272,16.3332359969332,2535865,9.53980035567774
2016,26787119,11.6022587660212,24228340,11.7973736568515,2558779,9.78797805767049
2016,27134762,13.6768267871287,24595476,13.4958985835598,2539286,15.4596152840582
2016,27230887,13.4220431705306,24712974,13.3369056226776,2517913,14.2644955964899
2016,27392161,12.2534639796643,24774394,12.52727405356,2617767,9.72663564035466
2016,28435631,14.0234595606038,25811656,14.4324814534626,2623975,10.1505264943086
2016,28849194,14.8287686063625,26151797,15.3831020505985,2697397,9.71825635068228
2016,28962609,14.386747751245,26122277,14.1550249178872,2840332,16.562832539718
2016,29276833,12.5729174016452,26390264,11.937566015569,2886569,18.7342690623281
2016,29152233,12.5588615552899,26252523,11.5825259431005,2899710,22.2425746017761
2016,29836113,14.2868913401462,26936312,13.1925203201879,2899801,25.5635483922649
2017,29880503,14.0407744627465,26957565,12.723642938357,2922938,27.8146381693302
2017,29603790,11.9018586068936,26665862,11.4827491405257,2937928,15.8550632624371
2017,29890976,11.5871251402586,26916892,11.096723919179,2974084,16.2305927944539
2017,29994758,10.5399708315113,26988281,9.72863871388381,3006477,18.3985183236548
2017,30098713,10.5315188594481,27063125,9.50978623616892,3035588,20.5596857397376
2017,30216493,10.310730869317,27161142,9.63393090462677,3055351,16.7159262073363
2017,30637482,7.7432816595489,27555133,6.75461117256484,3082349,17.468687773321
2017,30929731,7.21176820399212,27844674,6.47327218087537,3085057,14.3716330966484
2017,31021991,7.11048510857569,27923522,6.89543641237707,3098469,9.08826855452109
2017,31252574,6.74847924978769,28120056,6.55465970329057,3132518,8.52046148905501
2017,31330174,7.47092341090989,28122559,7.12326201942572,3207615,10.6184756406675
2017,31612151,5.95264537307526,28407499,5.46172393607559,3204652,10.512824845567
2018,31509856,5.45289682707148,28215979,4.66812933586547,3293877,12.6906215595404
2018,31157867,5.24958797505319,27736278,4.01418112791554,3421589,16.4626566750445
2018,31422259,5.12289394632013,27922159,3.73470681533365,3500100,17.6866557904888
2018,31485474,4.96992174432613,28030387,3.86132781113402,3455087,14.9214512534106
2018,31556649,4.84384830673656,28146776,4.00416064294127,3409873,12.3299011591823
2018,31213281,3.29882094523677,27907543,2.74804719183015,3305738,8.19503225652308
2018,31321117,2.23136810002859,28005541,1.63457022689748,3315576,7.56653448392768
2018,31395577,1.50614306991548,28071768,0.815574281817774,3323809,7.7389818081157
2018,31326712,0.982274155130796,27996023,0.259641316020236,3330689,7.49466914143726
2018,31343560,0.291131220103665,28008976,-0.395020550456934,3334584,6.450593420373
2018,30979835,-1.11821594096477,27695898,-1.51714856389847,3283937,2.37940027091781
2018,31293920,-1.0066730353148,27874080,-1.87774009954202,3419840,6.71486326752483
2019,31033374,-1.51216812923551,27643930,-2.02739376861601,3389444,2.90135302562906
2019,30878825,-0.895574783729586,27424414,-1.12439023000852,3454411,0.959261910182676
2019,31150518,-0.864804150459079,27643464,-0.998114078499441,3507054,0.198680037713217
2019,31454295,-0.0990266177984154,27707859,-1.1506369854972,3746436,8.43246494227208
2019,31534236,-0.0710246515718467,27716207,-1.52972759651053,3818029,11.9698299614091
2019,31666506,1.45202614233344,27848412,-0.211881784075359,3818094,15.4989899381016
2019,31996814,2.15732088992866,28109498,0.371201541866299,3887316,17.2440625701236
2019,31835826,1.40226440176589,27966483,-0.375056533667561,3869343,16.4129166266774
2019,31898674,1.82579646405279,28013345,0.0618730739005287,3885329,16.6524103571363
2019,31725556,1.2187383947452,27845900,-0.582227640167915,3879656,16.3460269706806
2019,31697361,2.31610658998022,27840806,0.523211054575668,3856555,17.4369362140626
2019,32049408,2.41416863083947,28191777,1.1397577964905,3857631,12.8015053335829
2020,31973954,3.03086606051923,28147132,1.82029834397642,3826822,12.9041223280278
2020,31712656,2.70033267133707,27898935,1.73028674377508,3813721,10.4014837840662
2020,31356418,0.660984192943431,27562668,-0.292278854777393,3793750,8.17483848266951
2020,30150725,-4.14433068679492,26489055,-4.39876642940908,3661670,-2.26257701986636
2020,30363554,-3.71241592788232,26683180,-3.72715862599814,3680374,-3.60539430161478
2020,30762908,-2.85348184608684,27078897,-2.76322757649521,3684011,-3.51177838995059
2020,30798609,-3.74476346301229,27111033,-3.55205560768108,3687576,-5.1382496303362
2020,30361938,-4.62965214095593,26641811,-4.73664135744205,3720127,-3.85636527958364
2020,31610458,-0.903535990242105,27872193,-0.503874135702105,3738265,-3.7851106045331
2020,31882918,0.49601021964753,28308408,1.66095547279852,3574510,-7.86528496340912
2020,32291381,1.87403613821353,28591878,2.69773798933839,3699503,-4.07233917317399
2020,32387266,1.05417859824431,28727322,1.89964967444229,3659944,-5.12456997571826
2021,31642688,-1.03604952956397,27978876,-0.597773158558397,3663812,-4.25967029561343
2021,30613766,-3.46514653329572,26943389,-3.4250267976179,3670377,-3.75863887263908
2021,32697851,4.27801734241456,29023797,5.30111598775562,3674054,-3.15508401976936
2021,32843120,8.92978527050346,29241299,10.3901177297567,3601821,-1.6344727952
2021,32554889,7.21699113351487,29072167,8.95315700752309,3482722,-5.37043246148353
2021,32857651,6.80931399593302,29444993,8.73778573772779,3412658,-7.36569461926145
2021,33239538,7.92545208778748,29842253,10.0742011564074,3397285,-7.87213605902632
2021,32755552,7.88360084260762,29332895,10.1009799971931,3422657,-7.99623238669003
2021,33445177,5.80415190441089,30017034,7.69527177140313,3428143,-8.29588057561462
2021,34094550,6.93673019514714,30582587,8.03358140097458,3511963,-1.74980626715269
2021,34199280,5.90838465533574,30660494,7.23497770940405,3538786,-4.34428624601738
2021,34574523,6.75344748148856,31012329,7.95412464830518,3562194,-2.67080589211201
2022,34593216,9.32451756310968,31020057,10.8695610216793,3573159,-2.4742808855913
2022,34621722,13.0920057336298,31020021,15.1303609208181,3601701,-1.87108844677263
2022,35130791,7.44067247722182,31502340,8.53969244616755,3628451,-1.24121746713575
2022,35156425,7.04349952136094,31517862,7.78543730222108,3638563,1.02009511299978
2022,35355311,8.60215496357553,31697223,9.02944730607803,3658088,5.035314331721
2022,35451441,7.8940213955039,31771135,7.89995772795736,3680306,7.84280171057281
2022,35751638,7.55756593247476,32053628,7.41021463761467,3698010,8.85192146081357
2022,36155571,10.3799777210288,32484120,10.7429730341993,3671451,7.26903104810093
2022,36355519,8.70182866725449,32673085,8.8484791668624,3682434,7.41774774272834
2022,36416104,6.80916451456316,32781704,7.19074877478481,3634400,3.48628388169236
2022,36532991,6.82386003448026,32871992,7.2128583446829,3660999,3.45352897858191
2022,36899465,6.7244369502943,33226922,7.14100833897385,3672543,3.09778187263244
