Año,Provincia,Accesos fijos,Accesos móviles,Accesos residenciales,Accesos organizacionales
2017,CABA y provincia de Bs.As.,54078931,178852373,209811865,23119439
2017,Catamarca,322016,3011450,3141043,192423
2017,Chaco,1113300,7947766,8588102,472964
2017,Chubut,928193,6583445,6801204,710434
2017,Córdoba,7393847,32302851,34383304,5313394
2017,Corrientes,1090863,8072947,8658769,505041
2017,Entre Ríos,2055558,10262903,11236740,1081721
2017,Formosa,336349,4032195,4221365,147179
2017,Jujuy,514087,5427802,5663779,278110
2017,La Pampa,598092,2869840,3025805,442127
2017,La Rioja,748533,2848189,3416016,180706
2017,Mendoza,1998989,14897783,15205010,1691762
2017,Misiones,1207024,8122985,8821901,508108
2017,Neuquén,1284572,7105599,7566059,824112
2017,Río Negro,1143839,5568546,6135303,577082
2017,Salta,1297903,9458702,9938853,817752
2017,San Juan,818894,5421499,5823167,417226
2017,San Luis,175880,3753319,3618633,310566
2017,Santa Cruz,286037,1903607,2032483,157161
2017,Santa Fe,6652877,27924406,30050167,4527116
2017,Santiago del Estero,354570,6066614,6107171,314013
2017,Tierra del Fuego,274218,1704233,1842431,136020
2017,Tucumán,1885223,12330282,13251924,963581
2018,CABA y provincia de Bs.As.,57075604,181347419,213033087,25389936
2018,Catamarca,332400,3177826,3313581,196645
2018,Chaco,1160812,8708136,9381067,487881
2018,Chubut,746132,6378429,6318947,805614
2018,Córdoba,7656114,33657471,35744604,5568981
2018,Corrientes,1150003,8571267,9211045,510225
2018,Entre Ríos,2109004,10758350,11776756,1090598
2018,Formosa,353497,4322270,4531862,143905
2018,Jujuy,537046,5802394,6054156,285284
2018,La Pampa,596878,2902206,2983467,515617
2018,La Rioja,821240,2971113,3605905,186448
2018,Mendoza,1425413,15192521,14787700,1830234
2018,Misiones,1260835,8797923,9552052,506706
2018,Neuquén,1236382,6908510,7237451,907441
2018,Río Negro,936437,5310259,5622990,623706
2018,Salta,1294216,10011109,10480952,824373
2018,San Juan,677110,5235716,5465524,447302
2018,San Luis,143229,3813829,3584102,372956
2018,Santa Cruz,222464,1826967,1890884,158547
2018,Santa Fe,6784738,29089139,31111311,4762566
2018,Santiago del Estero,321241,6554886,6565934,310193
2018,Tierra del Fuego,301318,1672045,1824932,148431
2018,Tucumán,1959168,12996322,13971042,984448
2019,CABA y provincia de Bs.As.,58068077,185340801,214043942,29364936
2019,Catamarca,307360,3153304,3290070,170594
2019,Chaco,1193447,8718594,9449798,462243
2019,Chubut,719092,6220704,6164197,775599
2019,Córdoba,7768756,33124184,35410720,5482220
2019,Corrientes,1187512,8525956,9229708,483760
2019,Entre Ríos,2143028,10768171,11830088,1081111
2019,Formosa,362654,4317100,4541330,138424
2019,Jujuy,560584,5781991,6070409,272166
2019,La Pampa,624772,2897137,2966780,555129
2019,La Rioja,893616,2954348,3670762,177202
2019,Mendoza,1290641,14947517,14262589,1975569
2019,Misiones,1289599,8836186,9643596,482189
2019,Neuquén,1252517,7053576,7184608,1121485
2019,Río Negro,907463,5250715,5456077,702101
2019,Salta,1220912,9989905,10435315,775502
2019,San Juan,619464,5096574,5246472,469566
2019,San Luis,136435,3671367,3478087,329715
2019,Santa Cruz,212616,1796086,1849365,159337
2019,Santa Fe,6746909,29248367,30993402,5001874
2019,Santiago del Estero,304131,6621104,6638072,287163
2019,Tierra del Fuego,276506,1672494,1792218,156782
2019,Tucumán,1862357,12935212,13872539,925030
2020,CABA y provincia de Bs.As.,58143504,180086497,208782863,29447138
2020,Catamarca,303971,3183337,3337328,149980
2020,Chaco,1258279,8649439,9485742,421976
2020,Chubut,782641,6579308,6665942,696007
2020,Córdoba,7652778,32899139,35337303,5214614
2020,Corrientes,1229130,8574428,9352745,450813
2020,Entre Ríos,2202248,10531663,11735179,998732
2020,Formosa,383173,4292788,4538699,137262
2020,Jujuy,524997,5718028,5998457,244568
2020,La Pampa,659291,2919985,3042612,536664
2020,La Rioja,971633,2911454,3726311,156776
2020,Mendoza,1364296,15535099,15044910,1854485
2020,Misiones,1337408,8849326,9725933,460801
2020,Neuquén,1347190,7541379,7788942,1099627
2020,Río Negro,986410,5502040,5858433,630017
2020,Salta,1148630,10005315,10493888,660057
2020,San Juan,754969,5700185,5977568,477586
2020,San Luis,131750,3882605,3699321,315034
2020,Santa Cruz,199787,1717632,1784257,133162
2020,Santa Fe,6806322,29195915,31157682,4844555
2020,Santiago del Estero,317781,6656710,6711695,262796
2020,Tierra del Fuego,196023,1704042,1759128,140937
2020,Tucumán,1804856,13016471,13961792,859535
2021,CABA y provincia de Bs.As.,60220801,187444534,219708966,27956369
2021,Catamarca,312470,3427513,3601695,138288
2021,Chaco,1269419,9034106,9889501,414024
2021,Chubut,828947,6646109,6907757,567299
2021,Córdoba,7716612,35187059,37867868,5035803
2021,Corrientes,1321495,9102955,9985068,439382
2021,Entre Ríos,2290012,11348015,12650600,987427
2021,Formosa,399981,4492122,4758407,133696
2021,Jujuy,467415,6242328,6475322,234421
2021,La Pampa,683205,3022437,3253015,452627
2021,La Rioja,1094059,3150180,4092663,151576
2021,Mendoza,1338798,16873155,16566949,1645004
2021,Misiones,1393642,9527962,10462525,459079
2021,Neuquén,1455738,7773103,8280556,948285
2021,Río Negro,1007370,5471335,6003110,475595
2021,Salta,1150947,10801236,11326202,625981
2021,San Juan,861647,6041227,6441407,461467
2021,San Luis,135216,4159385,4013561,281040
2021,Santa Cruz,192003,1789727,1859719,122011
2021,Santa Fe,6807929,30927829,32987647,4748111
2021,Santiago del Estero,325164,7220945,7295034,251075
2021,Tierra del Fuego,167554,1775227,1821097,121684
2021,Tucumán,1817463,14060096,15071777,805782
2022,CABA y provincia de Bs.As.,62193950,201592812,234641052,29145710
2022,Catamarca,255323,3773701,3900958,128066
2022,Chaco,1239195,10224517,11045130,418582
2022,Chubut,828540,7020093,7254715,593918
2022,Córdoba,7614619,37811842,40343222,5083239
2022,Corrientes,1405669,10015426,10994320,426775
2022,Entre Ríos,2314320,12497634,13873697,938257
2022,Formosa,410456,5040456,5323621,127291
2022,Jujuy,438156,6923451,7133831,227776
2022,La Pampa,714216,3201193,3444261,471148
2022,La Rioja,1203683,3475840,4533434,146089
2022,Mendoza,1227310,17975725,17581614,1621421
2022,Misiones,1389639,10945780,11877342,458077
2022,Neuquén,1521783,8281075,8851878,950980
2022,Río Negro,977229,5821625,6296888,501966
2022,Salta,1130009,12184039,12709373,604675
2022,San Juan,896394,6451449,6863161,484682
2022,San Luis,132655,4499159,4337759,294055
2022,Santa Cruz,197368,1868378,1933983,131763
2022,Santa Fe,6486312,33563275,35266740,4782847
2022,Santiago del Estero,333350,8097932,8192058,239224
2022,Tierra del Fuego,174390,1881615,1926670,129335
2022,Tucumán,1713235,15273177,16224580,761832
