,Año,Trimestre,Provincia,Accesos por cada 100 hab
0,2022,3,Buenos Aires,26
1,2022,3,Capital Federal,50
2,2022,3,Catamarca,17
3,2022,3,Chaco,12
4,2022,3,Chubut,26
5,2022,3,Córdoba,27
6,2022,3,Corrientes,13
7,2022,3,Entre Ríos,19
8,2022,3,Formosa,11
9,2022,3,Jujuy,15
10,2022,3,La Pampa,32
11,2022,3,La Rioja,21
12,2022,3,Mendoza,14
13,2022,3,Misiones,14
14,2022,3,Neuquén,24
15,2022,3,Río Negro,21
16,2022,3,Salta,14
17,2022,3,San Juan,13
18,2022,3,San Luis,23
19,2022,3,Santa Cruz,13
20,2022,3,Santa Fe,25
21,2022,3,Santiago Del Estero,12
22,2022,3,Tierra Del Fuego,30
23,2022,3,Tucumán,15
24,2022,2,Buenos Aires,26
25,2022,2,Capital Federal,50
26,2022,2,Catamarca,16
27,2022,2,Chaco,12
28,2022,2,Chubut,26
29,2022,2,Córdoba,27
30,2022,2,Corrientes,13
31,2022,2,Entre Ríos,19
32,2022,2,Formosa,11
33,2022,2,Jujuy,15
34,2022,2,La Pampa,31
35,2022,2,La Rioja,21
36,2022,2,Mendoza,14
37,2022,2,Misiones,14
38,2022,2,Neuquén,24
39,2022,2,Río Negro,21
40,2022,2,Salta,14
41,2022,2,San Juan,13
42,2022,2,San Luis,23
43,2022,2,Santa Cruz,13
44,2022,2,Santa Fe,24
45,2022,2,Santiago Del Estero,12
46,2022,2,Tierra Del Fuego,30
47,2022,2,Tucumán,15
48,2022,1,Buenos Aires,26
49,2022,1,Capital Federal,46
50,2022,1,Catamarca,15
51,2022,1,Chaco,12
52,2022,1,Chubut,27
53,2022,1,Córdoba,26
54,2022,1,Corrientes,13
55,2022,1,Entre Ríos,19
56,2022,1,Formosa,9
57,2022,1,Jujuy,15
58,2022,1,La Pampa,30
59,2022,1,La Rioja,21
60,2022,1,Mendoza,14
61,2022,1,Misiones,13
62,2022,1,Neuquén,22
63,2022,1,Río Negro,21
64,2022,1,Salta,14
65,2022,1,San Juan,11
66,2022,1,San Luis,23
67,2022,1,Santa Cruz,13
68,2022,1,Santa Fe,24
69,2022,1,Santiago Del Estero,12
70,2022,1,Tierra Del Fuego,29
71,2022,1,Tucumán,14
72,2021,4,Buenos Aires,25
73,2021,4,Capital Federal,46
74,2021,4,Catamarca,14
75,2021,4,Chaco,12
76,2021,4,Chubut,25
77,2021,4,Córdoba,26
78,2021,4,Corrientes,12
79,2021,4,Entre Ríos,19
80,2021,4,Formosa,9
81,2021,4,Jujuy,15
82,2021,4,La Pampa,30
83,2021,4,La Rioja,21
84,2021,4,Mendoza,13
85,2021,4,Misiones,13
86,2021,4,Neuquén,22
87,2021,4,Río Negro,20
88,2021,4,Salta,14
89,2021,4,San Juan,10
90,2021,4,San Luis,23
91,2021,4,Santa Cruz,13
92,2021,4,Santa Fe,24
93,2021,4,Santiago Del Estero,12
94,2021,4,Tierra Del Fuego,29
95,2021,4,Tucumán,14
96,2021,3,Buenos Aires,24
97,2021,3,Capital Federal,46
98,2021,3,Catamarca,13
99,2021,3,Chaco,11
100,2021,3,Chubut,25
101,2021,3,Córdoba,25
102,2021,3,Corrientes,12
103,2021,3,Entre Ríos,19
104,2021,3,Formosa,9
105,2021,3,Jujuy,14
106,2021,3,La Pampa,28
107,2021,3,La Rioja,21
108,2021,3,Mendoza,13
109,2021,3,Misiones,12
110,2021,3,Neuquén,21
111,2021,3,Río Negro,19
112,2021,3,Salta,14
113,2021,3,San Juan,10
114,2021,3,San Luis,23
115,2021,3,Santa Cruz,13
116,2021,3,Santa Fe,24
117,2021,3,Santiago Del Estero,12
118,2021,3,Tierra Del Fuego,28
119,2021,3,Tucumán,14
120,2021,2,Buenos Aires,23
121,2021,2,Capital Federal,45
122,2021,2,Catamarca,13
123,2021,2,Chaco,12
124,2021,2,Chubut,22
125,2021,2,Córdoba,25
126,2021,2,Corrientes,11
127,2021,2,Entre Ríos,18
128,2021,2,Formosa,8
129,2021,2,Jujuy,14
130,2021,2,La Pampa,27
131,2021,2,La Rioja,20
132,2021,2,Mendoza,11
133,2021,2,Misiones,12
134,2021,2,Neuquén,21
135,2021,2,Río Negro,19
136,2021,2,Salta,13
137,2021,2,San Juan,10
138,2021,2,San Luis,24
139,2021,2,Santa Cruz,13
140,2021,2,Santa Fe,24
141,2021,2,Santiago Del Estero,12
142,2021,2,Tierra Del Fuego,20
143,2021,2,Tucumán,14
144,2021,1,Buenos Aires,23
145,2021,1,Capital Federal,45
146,2021,1,Catamarca,12
147,2021,1,Chaco,12
148,2021,1,Chubut,21
149,2021,1,Córdoba,24
150,2021,1,Corrientes,11
151,2021,1,Entre Ríos,18
152,2021,1,Formosa,8
153,2021,1,Jujuy,14
154,2021,1,La Pampa,27
155,2021,1,La Rioja,13
156,2021,1,Mendoza,11
157,2021,1,Misiones,12
158,2021,1,Neuquén,20
159,2021,1,Río Negro,19
160,2021,1,Salta,13
161,2021,1,San Juan,10
162,2021,1,San Luis,23
163,2021,1,Santa Cruz,12
164,2021,1,Santa Fe,23
165,2021,1,Santiago Del Estero,11
166,2021,1,Tierra Del Fuego,23
167,2021,1,Tucumán,14
168,2020,4,Buenos Aires,23
169,2020,4,Capital Federal,45
170,2020,4,Catamarca,13
171,2020,4,Chaco,12
172,2020,4,Chubut,21
173,2020,4,Córdoba,24
174,2020,4,Corrientes,11
175,2020,4,Entre Ríos,18
176,2020,4,Formosa,8
177,2020,4,Jujuy,14
178,2020,4,La Pampa,27
179,2020,4,La Rioja,13
180,2020,4,Mendoza,11
181,2020,4,Misiones,12
182,2020,4,Neuquén,20
183,2020,4,Río Negro,19
184,2020,4,Salta,13
185,2020,4,San Juan,9
186,2020,4,San Luis,23
187,2020,4,Santa Cruz,11
188,2020,4,Santa Fe,23
189,2020,4,Santiago Del Estero,11
190,2020,4,Tierra Del Fuego,23
191,2020,4,Tucumán,14
192,2020,3,Buenos Aires,22
193,2020,3,Capital Federal,45
194,2020,3,Catamarca,12
195,2020,3,Chaco,11
196,2020,3,Chubut,21
