,Unnamed: 0,Partido,Localidad,ADSL,Unnamed: 4,DIALUP,FIBRAOPTICA,4G,Unnamed: 8,TELEFONIAFIJA,Unnamed: 10,SATELITAL
0,,Bahía Blanca,Villa Bordeau,,,--,--,,,--,,--
1,BUENOS AIRES,,Villa Espora,--,--,,--,--,--,,--,
2,BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
3,BUENOS AIRES,Balcarce,,--,--,--,,--,--,SI,SI,--
4,BUENOS AIRES,,Napaleofú,--,--,,SI,SI,SI,,,--
5,BUENOS AIRES,Balcarce,Ramos Otero,,--,--,--,,--,--,SI,
6,,Balcarce,San Agustín,,,--,--,,,SI,SI,
7,BUENOS AIRES,,,--,--,,,SI,SI,,,--
8,BUENOS AIRES,Baradero,,SI,SI,--,,SI,SI,SI,SI,SI
9,BUENOS AIRES,,Irineo Portela,--,--,,SI,--,--,,,SI
10,BUENOS AIRES,Baradero,,--,--,--,,SI,--,,,--
11,,Baradero,Villa Alsina (Est. Alsina),SI,,--,--,SI,,SI,SI,
12,BUENOS AIRES,Benito Juárez,Barker,,,SI,SI,,SI,SI,SI,
13,CHUBUT,Futaleufú,Lago Rosario,,--,--,--,,--,SI,,SI
14,,General Las Heras,General Las Heras (Est. Las Heras),,,SI,SI,,,SI,,--
15,BUENOS AIRES,General Las Heras,,--,--,--,,--,--,--,--,
16,BUENOS AIRES,,,--,--,,,--,--,,--,SI
17,,General Las Heras,Plomer,,,--,--,--,,SI,--,--
18,BUENOS AIRES,General Las Heras,Villars,,SI,SI,SI,,--,SI,,--
19,,General Lavalle,Chacras de San Clemente,,,--,--,,,--,SI,--
20,,General Lavalle,General Lavalle,--,,--,SI,SI,,SI,SI,
21,BUENOS AIRES,,,--,--,,,SI,SI,,,--
22,BUENOS AIRES,,Barrio Río Salado,--,--,,--,--,--,,,--
23,BUENOS AIRES,,Loma Verde,--,--,,--,SI,SI,,SI,
24,BUENOS AIRES,General Paz,,SI,--,SI,,SI,SI,SI,SI,
25,,General Paz,Villanueva (Ap. Río Salado),,,--,--,,,SI,,--
26,BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),,--,--,--,,SI,SI,,--
27,MISIONES,San Ignacio,,--,--,--,,--,--,--,SI,--
28,BUENOS AIRES,,,--,SI,,,SI,--,,--,
29,,Magdalena,Los Naranjos,--,,--,SI,--,,--,--,--
30,,Magdalena,Magdalena,,,SI,--,,,SI,,--
31,BUENOS AIRES,,Roberto J. Payró,--,--,,--,--,--,,SI,--
32,BUENOS AIRES,,,--,--,,,--,--,,SI,
33,BUENOS AIRES,Maipú,,SI,--,--,,SI,SI,SI,,--
34,BUENOS AIRES,,,SI,--,,,SI,SI,,SI,--
35,BUENOS AIRES,Maipú,Santo Domingo,,--,--,--,,--,SI,SI,
36,,Malvinas Argentinas,Area De Promocion El Triángulo,SI,,--,SI,SI,,--,--,--
37,BUENOS AIRES,,,SI,SI,,,SI,SI,,--,--
38,BUENOS AIRES,Malvinas Argentinas,,SI,SI,--,,SI,SI,SI,,--
39,BUENOS AIRES,,San Fernando,SI,SI,,SI,SI,SI,,SI,
40,BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,SI
41,,San Fernando,Virreyes,SI,,--,SI,SI,,SI,,--
42,,San Isidro,Acassuso,,,SI,SI,,,SI,--,SI
43,BUENOS AIRES,San Isidro,Beccar,,SI,--,SI,,SI,SI,SI,--
44,,San Isidro,Boulogne Sur Mer,SI,,--,SI,SI,,SI,SI,
45,CABA,COMUNA 04,,SI,SI,SI,,SI,SI,SI,SI,SI
46,CHACO,,,--,--,,,SI,SI,,,--
47,,San Fernando,Puerto Vilelas,,,--,SI,,,--,--,
48,CHACO,San Fernando,Resistencia,,SI,SI,SI,,SI,SI,SI,
49,CHACO,,,--,--,,,SI,--,,,SI
50,BUENOS AIRES,,Desvío Aguirre,--,--,,SI,SI,SI,,,--
51,,Tandil,Gardey,,,--,SI,,,SI,SI,
52,,Tandil,María Ignacia (Est. Vela),SI,,--,--,SI,,SI,SI,
53,,Tandil,Tandil,,,SI,SI,,,SI,,SI
54,BUENOS AIRES,Tapalqué,Crotto,,--,--,--,,--,--,,--
55,BUENOS AIRES,,Tapalqué,--,--,,--,SI,SI,,--,SI
56,BUENOS AIRES,Tapalqué,,--,--,--,,--,--,--,--,
57,BUENOS AIRES,Tigre,Benavídez,,SI,--,SI,,SI,SI,,SI
58,,Tigre,Dique Luján,,,--,SI,,,SI,SI,--
59,,COMUNA 10,FLORESTA,SI,,SI,SI,SI,,SI,SI,
60,,Futaleufú,Los Cipreses,,--,--,--,,--,SI,--,SI
61,CHUBUT,,Trevelín,SI,--,,--,SI,SI,,,SI
62,CHUBUT,Futaleufú,,--,--,--,,--,--,SI,,SI
63,CHUBUT,Gaiman,,--,--,--,,SI,SI,--,--,
64,CHUBUT,,,--,--,,,--,--,,--,
65,CHUBUT,Gaiman,Dolavon,,--,SI,SI,,--,SI,,SI
66,,San Isidro,Martínez,,,SI,SI,,,SI,,SI
67,BUENOS AIRES,,San Isidro,SI,SI,,SI,SI,SI,,SI,
68,BUENOS AIRES,San Isidro,,SI,SI,--,,SI,SI,SI,--,--
69,BUENOS AIRES,San Miguel,Bella Vista,,SI,SI,SI,,SI,SI,,SI
70,,San Miguel,Campo De Mayo,--,,--,--,SI,,--,--,SI
71,BUENOS AIRES,,,SI,SI,SI,,SI,SI,SI,--,
72,CORDOBA,,Canteras Quilpo,--,--,,--,--,--,,SI,--
73,CORDOBA,,,--,--,,,--,--,,SI,--
74,BUENOS AIRES,Berisso,,SI,SI,SI,,SI,SI,SI,,--
75,,Berisso,Los Talas,,,--,--,,,--,--,--
76,BUENOS AIRES,Berisso,Villa Arguello,,--,--,SI,,SI,--,SI,
77,BUENOS AIRES,Berisso,,--,--,--,,SI,SI,--,,--
78,BUENOS AIRES,,Villa Independencia,--,--,,,--,--,,--,--
79,BUENOS AIRES,Berisso,,--,--,--,,SI,SI,--,SI,--
80,BUENOS AIRES,,,--,--,,,--,--,,--,
81,BUENOS AIRES,Berisso,Villa Progreso,,--,--,SI,,--,--,SI,--
82,,Berisso,Villa San Carlos,,,--,--,,,--,,--
83,,Berisso,Villa Zula,--,,--,--,--,,--,--,
84,BUENOS AIRES,Bolívar,Hale,,--,--,--,,,SI,--,--
85,BUENOS AIRES,,Juan F. Ibarra,--,--,,--,--,--,,,--
86,BUENOS AIRES,Bolívar,,--,--,,,--,--,--,--,--
87,,Bolívar,Paula,,,--,--,,,--,--,
88,,Bolívar,Pirovano,--,,--,--,--,,SI,SI,
89,BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
90,BUENOS AIRES,Bolívar,,--,--,SI,,SI,SI,SI,,--
91,,Bolívar,Villa Lynch Pueyrredón,,,--,--,,,--,--,--
92,BUENOS AIRES,Bragado,Asamblea,,--,--,--,,--,--,--,
93,,COMUNA 12,VILLA URQUIZA,,,SI,SI,,SI,SI,,SI
94,,Río Cuarto,Alpa Corral,--,,--,--,SI,,--,--,--
95,CORDOBA,Río Cuarto,,SI,SI,--,,SI,SI,,SI,
96,CORDOBA,,Bulnes,SI,--,,--,SI,SI,,--,
97,,Río Cuarto,Chaján,--,,--,SI,SI,,SI,--,SI
98,,Río Cuarto,Chucul,,,--,SI,,,SI,,--
99,CORDOBA,,Coronel Baigorria,--,--,,SI,SI,SI,,--,--
100,CHACO,,,--,--,,,SI,SI,,SI,
101,,Sargento Cabral,Capitán Solari,--,,--,SI,SI,,SI,SI,--
102,,Sargento Cabral,Colonia Elisa,,,--,--,,,SI,,SI
103,CHACO,Sargento Cabral,Colonias Unidas,,--,--,SI,,SI,SI,SI,
104,,Sargento Cabral,Ingeniero Barbet,--,,--,--,,,--,--,--
105,CHACO,Sargento Cabral,,--,--,--,,SI,SI,SI,,SI
106,CHACO,,Charadai,--,--,,SI,SI,SI,,--,SI
107,,Tapenagá,Cote Lai,,,--,--,,,SI,--,--
108,CHACO,Tapenagá,Haumonía,,--,--,--,,--,--,--,
109,CHACO,,,--,--,,,--,--,,--,--
110,CHACO,,La Sabana,--,--,,--,--,--,,,--
111,,Biedma,Arroyo Verde,,,--,--,,,--,--,
112,,Biedma,Puerto Madryn,SI,,SI,SI,SI,,SI,SI,
113,,Biedma,Puerto Pirámide,--,,--,--,SI,,SI,,SI
114,CHUBUT,Biedma,Quinta El Mirador,,--,--,--,,SI,--,,--
115,CORDOBA,,Cruz del Eje,SI,SI,,,SI,SI,,SI,
116,CORDOBA,Cruz del Eje,,--,--,--,,--,--,--,SI,--
117,CORDOBA,Cruz del Eje,El Rincón,,--,--,--,,--,--,--,--
118,,Cruz del Eje,Guanaco Muerto,,,--,--,,,--,,--
119,,Cruz del Eje,La Banda,--,,--,--,--,,--,--,SI
120,CORDOBA,Cruz del Eje,La Batea,,--,--,--,,,--,SI,
121,CORDOBA,,La Higuera,SI,--,,--,SI,--,,,--
122,CORDOBA,Cruz del Eje,,--,--,,,--,--,--,,--
123,CORDOBA,Cruz del Eje,,--,--,--,,--,--,--,SI,
124,CORDOBA,,,--,--,,,--,--,,SI,
125,CORDOBA,Cruz del Eje,Media Naranja,,--,--,--,,--,--,,--
126,,Cruz del Eje,Paso Viejo,,,--,--,,,SI,SI,--
127,CORDOBA,,,--,SI,,SI,SI,SI,,SI,--
128,CORDOBA,Cruz del Eje,,SI,--,--,,SI,SI,SI,SI,
129,,Cruz del Eje,Tuclame,,,--,--,,--,--,SI,--
130,,General Pueyrredón,Chapadmalal,SI,,--,SI,SI,,SI,,SI
131,BUENOS AIRES,General Pueyrredón,,--,--,--,,--,--,,SI,--
132,BUENOS AIRES,,Estacion Camet,--,--,,--,SI,SI,,--,
133,BUENOS AIRES,,,SI,--,,,SI,SI,,,SI
134,BUENOS AIRES,General Pueyrredón,,SI,SI,SI,,SI,SI,SI,SI,SI
135,,General Pueyrredón,Punta Mogotes,,,--,--,,,--,--,
136,BUENOS AIRES,General Pueyrredón,Sierra de los Padres,,--,--,SI,,SI,SI,SI,--
137,BUENOS AIRES,General Rodríguez,,--,--,--,,SI,SI,--,--,--
138,BUENOS AIRES,,Country Club Bosque Real - Barrio Morabo,--,--,,--,SI,SI,,,--
139,CABA,COMUNA 05,,SI,SI,SI,,SI,SI,,SI,
140,CHUBUT,,Comodoro Rivadavia,SI,SI,,SI,SI,SI,,SI,SI
141,,Escalante,Diadema Argentina,,--,--,--,,SI,--,,--
142,,Escalante,Km. 11 - Cuarteles,--,,--,--,--,,--,--,--
143,,Escalante,KM. 3 - General Mosconi,,,--,--,,,--,--,--
144,CHUBUT,Escalante,KM. 5 - Presidente Ortiz,,--,--,--,,--,--,--,
145,CHUBUT,,,--,--,,,SI,SI,,--,--
146,CABA,COMUNA 05,,SI,SI,SI,,SI,SI,SI,,SI
147,CHUBUT,Escalante,Rada Tilly,,SI,SI,SI,,SI,SI,SI,
148,,Florentino Ameghino,Camarones,,,--,--,,,SI,SI,SI
149,CHUBUT,,Garayalde,--,--,,--,--,--,,,--
150,CHUBUT,,,--,--,,,--,--,SI,--,SI
151,,Futaleufú,Corcovado,--,,SI,--,--,,SI,--,
152,CHUBUT,Futaleufú,Esquel,,SI,SI,--,,SI,SI,SI,
153,BUENOS AIRES,Mar Chiquita,General Pirán,,--,SI,SI,,SI,SI,,--
154,,Mar Chiquita,La Armonía,,,--,--,,,--,,--
155,BUENOS AIRES,Mar Chiquita,,--,--,--,,SI,SI,--,--,--
156,BUENOS AIRES,,,--,--,,,--,--,,SI,
157,,Mar Chiquita,Mar Chiquita,--,,--,--,SI,,SI,,--
158,BUENOS AIRES,Mar Chiquita,Mar de Cobo,,--,SI,SI,,--,SI,--,--
159,,Mar Chiquita,Playa Dorada,,,--,--,,,--,SI,
160,,Mar Chiquita,Santa Clara del Mar,SI,,--,SI,SI,,--,SI,--
161,BUENOS AIRES,,,--,--,,,--,--,,,--
162,BUENOS AIRES,,Vivoratá,--,--,,SI,SI,SI,,,--
163,BUENOS AIRES,,,--,--,,--,SI,--,,--,
164,BUENOS AIRES,Marcos Paz,,SI,SI,SI,,SI,SI,SI,SI,
165,,Mercedes,Goldney,--,,--,--,--,,--,--,--
166,BUENOS AIRES,Benito Juárez,Benito Juárez (Est. Juárez),,--,SI,SI,,SI,SI,,SI
167,BUENOS AIRES,Benito Juárez,,--,--,--,,--,--,--,SI,
168,BUENOS AIRES,,,--,--,,,SI,SI,,--,--
169,,Benito Juárez,Villa Cacique (Est. Alfredo Fortabat),--,,--,SI,SI,,--,,SI
170,,Berazategui,Berazategui,,,SI,SI,,,SI,SI,SI
171,BUENOS AIRES,,Berazategui Oeste,SI,SI,,SI,SI,SI,,--,
172,BUENOS AIRES,,,SI,SI,,,SI,SI,,--,--
173,BUENOS AIRES,Berazategui,,SI,SI,--,,SI,SI,SI,SI,--
174,CORDOBA,,Sarmiento,SI,--,,--,--,--,,,--
175,CORDOBA,Totoral,Simbolar,,--,--,--,,--,SI,--,--
176,,Berazategui,Guillermo E. Hudson,,,SI,SI,SI,,SI,--,
177,BUENOS AIRES,,,SI,SI,,,SI,SI,,,--
178,BUENOS AIRES,Berazategui,,SI,SI,SI,,SI,--,SI,--,--
179,BUENOS AIRES,,Plátanos,--,SI,,SI,SI,SI,,--,--
180,BUENOS AIRES,Berazategui,,SI,SI,SI,,SI,SI,SI,--,
181,,Berazategui,Villa España,,,--,SI,,,SI,--,--
182,BUENOS AIRES,Berisso,Barrio Banco Provincia,,--,--,--,,--,--,,--
183,,Berisso,Barrio El Carmen (Este),,,--,SI,,,--,SI,
184,,Berisso,Barrio Universitario,--,,--,--,SI,,--,--,--
185,ENTRE RIOS,,,--,--,,,SI,SI,,,SI
186,ENTRE RIOS,,Hambis,--,--,,--,--,--,,SI,--
187,,General Pinto,General Pinto,--,,SI,--,SI,,SI,--,
188,,General Pinto,Germania (Est. Mayor José Orellano),,,--,--,,SI,--,--,
189,BUENOS AIRES,General Pinto,,--,--,--,,--,SI,--,,--
190,BUENOS AIRES,,,--,--,,,SI,--,,,SI
191,BUENOS AIRES,General Pinto,Villa Roth (Est. Ingeniero Balbín),,--,--,--,,--,--,--,--
192,,General Pueyrredón,Barrio Colinas Verdes,--,,--,--,SI,,--,SI,
193,,General Pueyrredón,Barrio El Boquerón,--,,--,--,SI,,--,,--
194,,General Pueyrredón,Barrio El Casal,,,--,--,,,--,,--
195,BUENOS AIRES,,Barrio El Coyunco,--,--,,SI,SI,SI,,SI,
196,BUENOS AIRES,,,--,--,,,SI,SI,,SI,
197,BUENOS AIRES,General Pueyrredón,Barrio Santa Paula,,--,--,SI,,,--,SI,SI
198,,General Pueyrredón,Batán,SI,,--,SI,SI,,SI,,SI
199,,General Pueyrredón,Camet,SI,,--,SI,SI,,SI,SI,
200,,Colón,Hocker,,,--,--,,,--,SI,
201,BUENOS AIRES,,Ingeniero Pablo Nogués,SI,SI,,SI,SI,SI,,,--
202,BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,SI
203,BUENOS AIRES,Malvinas Argentinas,,--,SI,--,,--,--,--,SI,
204,BUENOS AIRES,,Tortuguitas,SI,SI,,SI,SI,SI,,--,
205,BUENOS AIRES,Malvinas Argentinas,Villa De Mayo,,SI,SI,SI,,SI,SI,,--
206,,Mar Chiquita,Atlantida,,,--,--,SI,,--,,--
207,BUENOS AIRES,,,--,--,,,SI,SI,,--,
208,BUENOS AIRES,Mar Chiquita,,SI,SI,--,,SI,SI,SI,SI,--
209,,Mar Chiquita,Frente Mar,,,--,--,,,--,,--
210,,San Miguel,San Miguel,SI,,SI,SI,SI,,SI,SI,SI
211,BUENOS AIRES,,,--,--,,,--,--,,--,
212,BUENOS AIRES,,Conesa,SI,--,,--,SI,SI,,--,SI
213,BUENOS AIRES,,,--,--,,--,--,--,,SI,--
